time,x,y,z,yaw,time,x,y,z,error_x,error_y,error_z,error_longitudinal,error_lateral,new_error_x,new_error_y,new_longitudinal_error,new_error_lateral
163645070.103866,-25869.68916,-93280.4161,1.61705,1.75112,163645070.103865,-25869.6953125,-93280.2890625,1.54699683189,-0.006152499998279,0.127037500002189,-0.07005316811,-0.031167149851567,0.123308509167717,-0.006152499998279,0.127037500002189,0.126081113744413,0.00715618009993
163645070.403865,-25869.88549,-93279.36784,1.61633,1.76046,163645070.403865,-25869.8867188,-93279.2578125,1.54705429077,-0.001228799999808,0.110027500006254,-0.06927570923,0.035113606683857,0.104281327823907,-0.001228799999808,0.110027500006254,0.108286117590835,0.001438428742858
163645070.702865,-25870.10987,-93278.23332,1.61648,1.77152,163645070.702865,-25870.1171875,-93278.078125,1.5456430912,-0.007317499999772,0.155194999999367,-0.0708369088,0.123849146189677,0.093810568802977,-0.007317499999772,0.155194999999367,0.153538032445471,0.008629535624704
163645071.003865,-25870.36609,-93277.01345,1.61733,1.78347,163645071.003864,-25870.3671875,-93276.890625,1.54727959633,-0.001097500000469,0.122824999998556,-0.07005040367,0.122488209877431,-0.009155521389785,-0.001097500000469,0.122824999998556,0.120289414665383,0.001304427208137
163645071.302865,-25870.6555,-93275.70867,1.61733,1.79408,163645071.302864,-25870.6523438,-93275.59375,1.54501831532,0.003156200000376,0.11492000000726,-0.07231168468,0.086512798380848,-0.0757106578787,0.003156200000376,0.11492000000726,0.111368292595087,-0.003776735949018
163645071.602864,-25870.97934,-93274.31943,1.6144,1.80532,163645071.602864,-25870.9960938,-93274.1875,1.54252886772,-0.016753799998696,0.131930000003194,-0.07187113228,0.047054691775564,-0.124386778626773,-0.016753799998696,0.131930000003194,0.13221167819789,0.020188410502853
163645071.803864,-25871.21613,-93273.34685,1.6107,1.81348,163645071.803864,-25871.2324219,-93273.2265625,1.53467106819,-0.016291899999487,0.120287500001723,-0.07602893181,-0.011824891235748,-0.120808445936203,-0.016291899999487,0.120287500001723,0.120677745050107,0.019729573705056
163645072.003864,-25871.47073,-93272.33747,1.6074,1.82187,163645072.003863,-25871.4765625,-93272.2109375,1.53311312199,-0.005832499999087,0.126532499998575,-0.07428687801,-0.078344407486869,-0.099532132638963,-0.005832499999087,0.126532499998575,0.124014279667623,0.007098679430565
163645072.203864,-25871.74417,-93271.29163,1.60603,1.83075,163645072.203863,-25871.7421875,-93271.1953125,1.5305390358,0.001982500001759,0.09631750000699,-0.0754909642,-0.091185664972592,-0.031083204747253,0.001982500001759,0.09631750000699,0.092571840302104,-0.002425465180313
163645072.403864,-25872.03746,-93270.20969,1.60644,1.83975,163645072.403863,-25872.0351562,-93270.1171875,1.53131604195,0.002303799999936,0.09250250000332,-0.07512395805,-0.090840463735708,0.017607673031536,0.002303799999936,0.09250250000332,0.088564812547529,-0.002833149490429
163645072.603863,-25872.3513,-93269.09192,1.60705,1.84887,163645072.603863,-25872.3417969,-93269.046875,1.53062939644,0.009503099998255,0.045045000006212,-0.07642060356,-0.028724307296091,0.035976035155312,0.009503099998256,0.045045000006212,0.040706004305945,-0.011746685321068
163645072.804863,-25872.68681,-93267.93875,1.60737,1.85848,163645072.804863,-25872.6914062,-93267.890625,1.53199017048,-0.004596200000378,0.048125000001164,-0.07537982952,-0.019990757281191,0.044017159186845,-0.004596200000378,0.048125000001164,0.047451327133185,0.005711401363989
163645073.004863,-25873.04496,-93266.75056,1.60832,1.86807,163645073.004862,-25873.0546875,-93266.71875,1.53358316422,-0.009727500000736,0.031810000000405,-0.07473683578,-0.002604996203771,0.033161941304279,-0.009727500000736,0.031810000000405,0.03326409588342,0.012150164755748
163645073.204863,-25873.42599,-93265.52755,1.60762,1.87686,163645073.204862,-25873.4316406,-93265.515625,1.53224909306,-0.005650600000081,0.011924999998882,-0.07537090694,0.003640466551332,0.012683923234666,-0.005650600000081,0.011924999998883,0.013073378113574,0.007090568310733
163645073.403863,-25873.82914,-93264.26958,1.60349,1.88449,163645073.403862,-25873.8359375,-93264.2578125,1.52674007416,-0.006797499998356,0.011767499992857,-0.07674992584,0.008064930684199,0.010937867953518,-0.006797499998356,0.011767499992857,0.013290782223059,0.008563316791488
163645073.603862,-25874.25412,-93262.97664,1.59915,1.8918,163645073.603862,-25874.2636719,-93262.96875,1.52164614201,-0.009551899998769,0.007889999993495,-0.07750385799,0.00795865529696,0.009494772211486,-0.009551899998769,0.007889999993495,0.010500779745588,0.012077788598982
163645073.803862,-25874.70135,-93261.64895,1.59579,1.89926,163645073.803862,-25874.7207031,-93261.6171875,1.51970887184,-0.019353100000444,0.031762500002515,-0.07608112816,0.036958537130672,0.004179164892377,-0.019353100000444,0.031762500002515,0.036307548349099,0.024561566500632
163645074.004862,-25875.17153,-93260.28682,1.59091,1.90661,163645074.004861,-25875.1738281,-93260.2734375,1.5130199194,-0.002298100000189,0.013382499993895,-0.0778900806,0.010509395390052,-0.008597975240313,-0.002298100000189,0.013382499993895,0.013392296952198,0.002927043982244
163645074.203862,-25875.66472,-93258.89036,1.58539,1.91349,163645074.203861,-25875.6777344,-93258.8828125,1.50571525097,-0.01301439999952,0.007547500004875,-0.07967474903,0.014730499838131,-0.003058061181521,-0.01301439999952,0.007547500004875,0.011481803420946,0.016630819259696
163645074.403862,-25876.18068,-93257.45955,1.58028,1.91994,163645074.403861,-25876.1796875,-93257.4609375,1.50102782249,0.000992500001303,-0.001387500000419,-0.07925217751,-0.000923755731128,0.001434185431859,0.000992500001303,-0.001387500000419,-0.001643314149458,-0.001272146079904
